timestamp,item_id,type,bloom_level,cluster,predicted_confidence,outcome,interval_before,interval_after,ease,reps,time_taken_s
2026-06-30T20:51:32,u2-defense-apply-01,vignette,apply,theory-families,50,shaky,1,1,2.04,0,39.9
2026-06-30T20:54:02,u2-existential-frankl-recall-01,recall,understand,theory-families,5,missed,0,1,2.18,0,23.0
2026-06-30T20:54:51,u2-familysystems-apply-01,vignette,apply,theory-families,5,missed,0,1,2.18,0,32.2
2026-06-30T20:57:44,u2-postmodern-evaluate-01,explain,evaluate,theory-families,55,missed,1,1,1.86,0,46.3
2026-06-30T20:57:51,u1-bordin-cloze-01,cloze,remember,alliance-components,100,correct,3,6,2.6,2,5.1
2026-06-30T21:00:03,u2-bowen-vs-minuchin-compare-01,compare,analyze,theory-families,5,missed,0,1,2.18,0,30.6
2026-06-30T21:01:13,u2-psychodynamic-evaluate-01,explain,evaluate,theory-families,40,missed,0,1,2.18,0,41.8
2026-06-30T21:01:24,u1-attending-cloze-01,cloze,remember,microskill-types,100,correct,1,6,2.7,2,9.2
2026-06-30T21:02:03,u2-familysystems-stuckbetter-01,explain,understand,theory-families,70,correct,1,6,2.7,2,29.0
2026-06-30T21:02:53,u2-postmodern-stuckbetter-01,explain,understand,theory-families,55,correct,1,1,2.46,1,33.9
2026-06-30T21:03:34,u2-cbt-vs-postmodern-compare-01,compare,analyze,theory-families,80,correct,1,6,2.7,2,35.2
2026-06-30T21:03:48,u2-differential-mcq-04,mcq,analyze,theory-families,100,correct,1,6,2.7,2,9.5
2026-07-01T16:56:05,u2-postmodern-stuckbetter-01,explain,understand,theory-families,80,correct,1,6,2.56,2,54.1
2026-07-01T16:57:41,u2-ellis-vs-beck-compare-01,compare,analyze,theory-families,75,correct,1,6,2.38,2,69.7
2026-07-01T16:57:49,u2-postmodern-cloze-01,cloze,remember,theory-families,100,correct,1,6,2.38,2,6.7
2026-07-01T16:58:03,u2-personcentered-cloze-01,cloze,remember,theory-families,100,correct,1,1,2.32,1,13.4
2026-07-01T16:59:10,u2-postmodern-evaluate-01,explain,evaluate,theory-families,85,correct,1,1,1.96,1,54.4
2026-07-01T16:59:49,u1-stance-evaluate-01,explain,evaluate,microskill-types,85,correct,1,6,2.56,2,32.9
2026-07-01T16:59:56,u2-existential-cloze-01,cloze,remember,theory-families,100,correct,1,6,2.7,2,6.3
2026-07-01T17:01:11,u2-integrative-evaluate-01,explain,evaluate,theory-families,75,correct,1,6,2.56,2,59.9
2026-07-01T17:01:46,u2-existential-frankl-recall-01,recall,understand,theory-families,90,correct,1,1,2.28,1,29.6
2026-07-01T17:03:00,u2-cbt-apply-01,vignette,apply,theory-families,90,correct,1,1,2.28,1,28.5
2026-07-01T17:03:09,u2-psychodynamic-cloze-01,cloze,remember,theory-families,100,correct,1,1,2.38,1,8.1
2026-07-01T17:03:52,u2-psychodynamic-apply-01,vignette,apply,theory-families,75,correct,1,6,2.7,2,36.4
2026-07-01T17:05:15,u2-psychodynamic-vs-cbt-compare-01,compare,analyze,theory-families,80,correct,1,6,2.56,2,67.9
2026-07-01T17:05:55,u2-psychodynamic-evaluate-01,explain,evaluate,theory-families,75,shaky,1,1,2.04,0,30.3
2026-07-01T17:06:52,u2-personcentered-stuckbetter-01,explain,understand,theory-families,90,correct,1,1,2.32,1,43.7
2026-07-01T17:07:29,u2-postmodern-apply-01,vignette,apply,theory-families,75,correct,1,1,2.14,1,24.1
2026-07-01T17:08:28,u2-existential-apply-01,vignette,apply,theory-families,70,correct,1,1,2.14,1,52.1
2026-07-01T17:08:34,u2-differential-mcq-03,mcq,apply,theory-families,100,correct,1,6,2.7,2,4.8
2026-07-01T17:08:50,u1-contextual-understand-01,recall,understand,common-factors,100,correct,1,1,2.46,1,8.6
2026-07-01T17:08:57,u1-coreconditions-cloze-01,cloze,remember,rogers-conditions,100,correct,1,6,2.7,2,5.6
2026-07-01T17:10:56,u1-commonfactors-evaluate-01,explain,evaluate,common-factors,85,correct,1,1,2.46,1,107.3
2026-07-01T17:14:18,u2-bowen-vs-minuchin-compare-01,compare,analyze,theory-families,50,missed,1,1,1.86,0,48.9
2026-07-01T17:15:10,u1-microskills-recall-01,recall,understand,microskill-types,90,correct,1,6,2.56,2,30.1
2026-07-01T17:15:21,u2-familysystems-cloze-01,cloze,remember,theory-families,90,correct,1,1,2.14,1,9.3
2026-07-01T17:15:57,u2-personcentered-apply-01,vignette,apply,theory-families,20,shaky,1,1,2.22,0,28.6
2026-07-01T17:17:27,u1-bordin-apply-01,vignette,apply,alliance-components,80,correct,1,6,2.7,2,50.8
2026-07-01T17:18:34,u2-psychodynamic-stuckbetter-01,explain,understand,theory-families,80,correct,1,6,2.56,2,56.2
2026-07-01T17:19:38,u2-personcentered-vs-existential-compare-01,compare,analyze,theory-families,80,correct,1,6,2.7,2,56.5
2026-07-01T17:21:46,u2-sfbt-vs-narrative-compare-01,compare,analyze,theory-families,75,shaky,1,1,1.9,0,82.2
2026-07-01T17:22:32,u2-familysystems-apply-01,vignette,apply,theory-families,85,correct,1,1,2.28,1,36.4
2026-07-02T16:14:20,u2-existential-frankl-recall-01,recall,understand,theory-families,90,correct,1,6,2.38,2,20.3
2026-07-02T16:14:25,u2-psychodynamic-cloze-01,cloze,remember,theory-families,100,correct,1,6,2.48,2,3.4
2026-07-02T16:14:44,u2-familysystems-apply-01,vignette,apply,theory-families,90,correct,1,6,2.38,2,13.1
2026-07-02T16:15:19,u2-existential-apply-01,vignette,apply,theory-families,85,correct,1,6,2.24,2,26.8
2026-07-02T16:15:24,u2-familysystems-cloze-01,cloze,remember,theory-families,100,correct,1,6,2.24,2,4.3
2026-07-02T16:16:11,u2-personcentered-apply-01,vignette,apply,theory-families,50,shaky,1,1,2.08,0,40.6
